image_path,video,frame,true_label,predicted_label,confidence,drone_probability,background_probability
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_013731.jpg,positive,test_013731.jpg,Drone,Drone,0.9997870326042175,0.9997870326042175,0.00021302583627402782
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_013754.jpg,positive,test_013754.jpg,Drone,Drone,0.9997828602790833,0.9997828602790833,0.00021713991009164602
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_013744.jpg,positive,test_013744.jpg,Drone,Drone,0.9997146725654602,0.9997146725654602,0.00028529262635856867
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_007774.jpg,positive,test_007774.jpg,Drone,Drone,0.9996066689491272,0.9996066689491272,0.0003933606785722077
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_005738.jpg,positive,test_005738.jpg,Drone,Drone,0.9993908405303955,0.9993908405303955,0.000609150214586407
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_013737.jpg,positive,test_013737.jpg,Drone,Drone,0.9993495345115662,0.9993495345115662,0.0006504775956273079
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_005898.jpg,positive,test_005898.jpg,Drone,Drone,0.9992971420288086,0.9992971420288086,0.0007027812534943223
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_013616.jpg,positive,test_013616.jpg,Drone,Drone,0.999136745929718,0.999136745929718,0.0008633190882392228
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_013767.jpg,positive,test_013767.jpg,Drone,Drone,0.9991257786750793,0.9991257786750793,0.0008742819190956652
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_014198.jpg,positive,test_014198.jpg,Drone,Drone,0.9991075396537781,0.9991075396537781,0.000892424606718123
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_012345.jpg,positive,test_012345.jpg,Drone,Drone,0.9990390539169312,0.9990390539169312,0.0009610087727196515
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_010462.jpg,positive,test_010462.jpg,Drone,Drone,0.9990108013153076,0.9990108013153076,0.000989119173027575
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_010472.jpg,positive,test_010472.jpg,Drone,Drone,0.9989013671875,0.9989013671875,0.0010986535344272852
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_005812.jpg,positive,test_005812.jpg,Drone,Drone,0.9988019466400146,0.9988019466400146,0.0011980388080701232
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_014773.jpg,positive,test_014773.jpg,Drone,Drone,0.9987885355949402,0.9987885355949402,0.0012114881537854671
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_005822.jpg,positive,test_005822.jpg,Drone,Drone,0.9987820982933044,0.9987820982933044,0.0012178539764136076
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_014154.jpg,positive,test_014154.jpg,Drone,Drone,0.9987757802009583,0.9987757802009583,0.0012242122320458293
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_013742.jpg,positive,test_013742.jpg,Drone,Drone,0.9987345337867737,0.9987345337867737,0.0012654569000005722
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_011742.jpg,positive,test_011742.jpg,Drone,Drone,0.998704195022583,0.998704195022583,0.0012958062579855323
D:\Elif\Sussex-PhD\Python_Projects\DroneDetection\data/2d_regions\test\positive\test_007662.jpg,positive,test_007662.jpg,Drone,Drone,0.9985632300376892,0.9985632300376892,0.001436780788935721
