tubelet_path,video_name,center_frame,gt_label,prediction,drone_confidence,max_iou
data\tubelets\test\test_000000.npy,2019_09_02_C0002_3700_mavic,13,0,0,5.6705142924329266e-05,0.0
data\tubelets\test\test_000001.npy,2019_09_02_C0002_3700_mavic,13,0,0,0.0020757277961820364,0.0
data\tubelets\test\test_000002.npy,2019_09_02_C0002_3700_mavic,13,0,0,0.0036305817775428295,0.0
data\tubelets\test\test_000003.npy,2019_09_02_C0002_3700_mavic,13,0,0,0.0027689384296536446,0.0
data\tubelets\test\test_000004.npy,2019_09_02_C0002_3700_mavic,13,0,0,0.0007941320072859526,0.0
data\tubelets\test\test_000005.npy,2019_09_02_C0002_3700_mavic,13,0,0,0.0023807338438928127,0.0
data\tubelets\test\test_000006.npy,2019_09_02_C0002_3700_mavic,13,0,1,0.7911292910575867,0.0
data\tubelets\test\test_000007.npy,2019_09_02_C0002_3700_mavic,13,0,0,0.09806840121746063,0.0
data\tubelets\test\test_000008.npy,2019_09_02_C0002_3700_mavic,13,0,0,0.001583492150530219,0.0
data\tubelets\test\test_000009.npy,2019_09_02_C0002_3700_mavic,13,0,0,0.1466389000415802,0.0
data\tubelets\test\test_000010.npy,2019_09_02_C0002_3700_mavic,13,0,0,0.07835846394300461,0.0
data\tubelets\test\test_000011.npy,2019_09_02_C0002_3700_mavic,13,0,0,0.005566674750298262,0.0
data\tubelets\test\test_000012.npy,2019_09_02_C0002_3700_mavic,13,0,0,1.0027272310253466e-06,0.0
data\tubelets\test\test_000013.npy,2019_09_02_C0002_3700_mavic,13,0,0,0.005410224199295044,0.0
data\tubelets\test\test_000014.npy,2019_09_02_C0002_3700_mavic,13,0,0,6.72175559657262e-08,0.0
data\tubelets\test\test_000015.npy,2019_09_02_C0002_3700_mavic,13,0,0,7.081827789079398e-05,0.0
data\tubelets\test\test_000016.npy,2019_09_02_C0002_3700_mavic,13,0,0,0.017410894855856895,0.0
data\tubelets\test\test_000017.npy,2019_09_02_C0002_3700_mavic,13,0,0,0.0013062971411272883,0.0
data\tubelets\test\test_000018.npy,2019_09_02_C0002_3700_mavic,13,0,0,0.0009078813018277287,0.0
data\tubelets\test\test_000019.npy,2019_09_02_C0002_3700_mavic,13,0,0,0.011976695619523525,0.0
data\tubelets\test\test_000020.npy,2019_09_02_C0002_3700_mavic,13,0,0,0.0036211588885635138,0.0
