video_name,frame_number,frame_gt,frame_prediction,tubelet_index,tubelet_center,tubelet_confidence,tubelet_path
2019_09_02_C0002_3700_mavic,26,0,1,0,25,0.7977652549743652,data\tubelets\test\test_002438.npy
2019_09_02_C0002_3700_mavic,26,0,1,1,25,0.8034512400627136,data\tubelets\test\test_002439.npy
2019_09_02_C0002_3700_mavic,26,0,1,2,25,0.56798255443573,data\tubelets\test\test_002446.npy
2019_09_02_C0002_3700_mavic,26,0,1,3,25,0.9556655883789062,data\tubelets\test\test_002605.npy
2019_09_02_C0002_3700_mavic,26,0,1,4,26,0.9256789088249207,data\tubelets\test\test_002611.npy
2019_09_02_C0002_3700_mavic,26,0,1,5,26,0.6674266457557678,data\tubelets\test\test_002612.npy
2019_09_02_C0002_3700_mavic,26,0,1,6,27,0.9308489561080933,data\tubelets\test\test_002777.npy
00_01_52_to_00_01_58,156,0,1,0,155,0.9392217397689819,data\tubelets\test\test_011644.npy
00_01_52_to_00_01_58,156,0,1,1,156,0.9999403953552246,data\tubelets\test\test_011645.npy
00_02_45_to_00_03_10_cut,174,1,1,0,173,0.9993494153022766,data\tubelets\test\test_011705.npy
2019_09_02_C0002_2527_inspire,232,1,1,0,231,0.7237974405288696,data\tubelets\test\test_014054.npy
2019_09_02_C0002_2527_inspire,232,1,1,1,232,0.8711611032485962,data\tubelets\test\test_014058.npy
2019_09_02_C0002_2527_inspire,232,1,1,2,233,0.8288888335227966,data\tubelets\test\test_014060.npy
2019_09_02_C0002_3700_mavic,520,1,0,-1,-1,0.0,NO_COVERAGE
2019_09_02_C0002_3700_mavic,111,1,0,-1,-1,0.0,NO_COVERAGE
2019_09_02_C0002_2527_inspire,497,1,1,0,496,1.0,data\tubelets\test\test_014908.npy
2019_09_02_C0002_2527_inspire,497,1,1,1,497,1.0,data\tubelets\test\test_014913.npy
2019_09_02_C0002_2527_inspire,497,1,1,2,498,1.0,data\tubelets\test\test_014918.npy
00_06_10_to_00_06_27,371,1,0,-1,-1,0.0,NO_COVERAGE
2019_09_02_C0002_3700_mavic,785,1,1,0,784,0.6659282445907593,data\tubelets\test\test_010627.npy
2019_09_02_C0002_3700_mavic,785,1,1,1,784,0.9990909099578857,data\tubelets\test\test_010633.npy
2019_09_02_C0002_3700_mavic,785,1,1,2,785,0.9969899654388428,data\tubelets\test\test_010634.npy
2019_09_02_C0002_3700_mavic,785,1,1,3,785,0.9871183633804321,data\tubelets\test\test_010646.npy
2019_09_02_C0002_3700_mavic,785,1,1,4,786,0.9942144751548767,data\tubelets\test\test_010647.npy
00_02_45_to_00_03_10_cut,30,1,0,-1,-1,0.0,NO_COVERAGE
2019_09_02_C0002_2527_inspire,88,1,0,-1,-1,0.0,NO_COVERAGE
2019_09_02_C0002_3700_mavic,376,1,0,-1,-1,0.0,NO_COVERAGE
2019_09_02_C0002_3700_mavic,147,1,1,0,146,0.8087279200553894,data\tubelets\test\test_005572.npy
00_02_45_to_00_03_10_cut,295,1,1,0,296,0.9979755282402039,data\tubelets\test\test_012005.npy
2019_09_02_C0002_2527_inspire,353,1,1,0,352,0.9999725818634033,data\tubelets\test\test_014451.npy
2019_09_02_C0002_2527_inspire,353,1,1,1,352,0.985733151435852,data\tubelets\test\test_014452.npy
2019_09_02_C0002_2527_inspire,353,1,1,2,353,0.9998621940612793,data\tubelets\test\test_014454.npy
2019_09_02_C0002_2527_inspire,353,1,1,3,353,0.9984598159790039,data\tubelets\test\test_014455.npy
2019_09_02_C0002_2527_inspire,353,1,1,4,354,0.9998483657836914,data\tubelets\test\test_014459.npy
2019_09_02_C0002_2527_inspire,353,1,1,5,354,0.6994038820266724,data\tubelets\test\test_014460.npy
2019_09_02_C0002_3700_mavic,641,1,1,0,640,0.9999856948852539,data\tubelets\test\test_009848.npy
2019_09_02_C0002_3700_mavic,641,1,1,1,641,0.999996542930603,data\tubelets\test\test_009853.npy
2019_09_02_C0002_3700_mavic,641,1,1,2,642,0.9999864101409912,data\tubelets\test\test_009858.npy
2019_09_02_C0002_3700_mavic,232,1,1,0,233,0.969764769077301,data\tubelets\test\test_005968.npy
00_01_52_to_00_01_58,133,1,1,0,132,0.9996505975723267,data\tubelets\test\test_011617.npy
00_01_52_to_00_01_58,133,1,1,1,133,0.9996644258499146,data\tubelets\test\test_011618.npy
00_01_52_to_00_01_58,133,1,1,2,134,0.9996854066848755,data\tubelets\test\test_011619.npy
2019_09_02_C0002_3700_mavic,906,1,0,-1,-1,0.0,NO_COVERAGE
00_02_45_to_00_03_10_cut,151,1,1,0,152,0.9697831869125366,data\tubelets\test\test_011683.npy
2019_09_02_C0002_2527_inspire,209,0,0,-1,-1,0.0,NO_COVERAGE
2019_09_02_C0002_3700_mavic,497,1,0,-1,-1,0.0,NO_COVERAGE
2019_09_02_C0002_3700_mavic,268,1,0,-1,-1,0.0,NO_COVERAGE
2019_09_02_C0002_2527_inspire,474,1,1,0,473,0.9999970197677612,data\tubelets\test\test_014785.npy
2019_09_02_C0002_2527_inspire,474,1,1,1,474,0.9999986886978149,data\tubelets\test\test_014790.npy
2019_09_02_C0002_2527_inspire,474,1,1,2,474,0.9815678000450134,data\tubelets\test\test_014795.npy
2019_09_02_C0002_2527_inspire,474,1,1,3,475,0.9999992847442627,data\tubelets\test\test_014796.npy
2019_09_02_C0002_2527_inspire,474,1,1,4,475,0.9602102637290955,data\tubelets\test\test_014801.npy
00_06_10_to_00_06_27,348,1,0,-1,-1,0.0,NO_COVERAGE
2019_09_02_C0002_3700_mavic,762,1,1,0,761,0.9998652935028076,data\tubelets\test\test_010509.npy
2019_09_02_C0002_3700_mavic,762,1,1,1,762,0.9999793767929077,data\tubelets\test\test_010513.npy
2019_09_02_C0002_3700_mavic,762,1,1,2,763,0.9999716281890869,data\tubelets\test\test_010517.npy
2019_09_02_C0002_3700_mavic,533,1,0,-1,-1,0.0,NO_COVERAGE
00_02_45_to_00_03_10_cut,7,1,1,0,6,0.9459375143051147,data\tubelets\test\test_011658.npy
2019_09_02_C0002_2527_inspire,65,1,0,-1,-1,0.0,NO_COVERAGE
2019_09_02_C0002_3700_mavic,124,1,1,0,125,0.6840118765830994,data\tubelets\test\test_005454.npy
00_02_45_to_00_03_10_cut,272,1,1,0,272,0.9796292185783386,data\tubelets\test\test_011951.npy
2019_09_02_C0002_2527_inspire,330,1,1,0,329,0.9999951124191284,data\tubelets\test\test_014307.npy
2019_09_02_C0002_2527_inspire,330,1,1,1,330,0.9999998807907104,data\tubelets\test\test_014308.npy
2019_09_02_C0002_2527_inspire,330,1,1,2,331,0.9999998807907104,data\tubelets\test\test_014309.npy
2019_09_02_C0002_2527_inspire,101,1,1,0,100,0.9983696341514587,data\tubelets\test\test_013481.npy
2019_09_02_C0002_2527_inspire,101,1,1,1,101,0.9999668598175049,data\tubelets\test\test_013483.npy
2019_09_02_C0002_2527_inspire,101,1,1,2,102,0.6405906081199646,data\tubelets\test\test_013486.npy
2019_09_02_C0002_3700_mavic,618,1,1,0,617,0.9999997615814209,data\tubelets\test\test_009680.npy
2019_09_02_C0002_3700_mavic,618,1,1,1,618,0.9999955892562866,data\tubelets\test\test_009691.npy
2019_09_02_C0002_3700_mavic,618,1,1,2,619,0.9999996423721313,data\tubelets\test\test_009698.npy
2019_09_02_C0002_3700_mavic,389,1,0,-1,-1,0.0,NO_COVERAGE
00_01_52_to_00_01_58,110,1,1,0,109,0.9999291896820068,data\tubelets\test\test_011584.npy
00_01_52_to_00_01_58,110,1,1,1,110,0.9998914003372192,data\tubelets\test\test_011585.npy
00_01_52_to_00_01_58,110,1,1,2,111,0.9998561143875122,data\tubelets\test\test_011586.npy
00_06_10_to_00_06_27,469,1,1,0,468,0.9999219179153442,data\tubelets\test\test_012350.npy
00_06_10_to_00_06_27,469,1,1,1,469,0.9999420642852783,data\tubelets\test\test_012351.npy
00_06_10_to_00_06_27,469,1,1,2,470,0.9997506737709045,data\tubelets\test\test_012352.npy
2019_09_02_C0002_3700_mavic,883,1,1,0,882,1.0,data\tubelets\test\test_011346.npy
2019_09_02_C0002_3700_mavic,883,1,1,1,883,1.0,data\tubelets\test\test_011352.npy
2019_09_02_C0002_3700_mavic,883,1,1,2,884,1.0,data\tubelets\test\test_011355.npy
2019_09_02_C0002_3700_mavic,654,1,1,0,653,0.9999291896820068,data\tubelets\test\test_009904.npy
2019_09_02_C0002_3700_mavic,654,1,1,1,654,0.9999871253967285,data\tubelets\test\test_009910.npy
2019_09_02_C0002_3700_mavic,654,1,1,2,655,0.9995524287223816,data\tubelets\test\test_009917.npy
00_02_45_to_00_03_10_cut,128,1,0,-1,-1,0.0,NO_COVERAGE
2019_09_02_C0002_2527_inspire,186,1,1,0,185,0.9994358420372009,data\tubelets\test\test_013794.npy
2019_09_02_C0002_2527_inspire,186,1,1,1,186,0.9999414682388306,data\tubelets\test\test_013796.npy
